price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,tps
8084.51,1300000.0,13000000000000.0,16987252.61,15190696.06,16802442.99,21726159.0,575000000.0,389000000.0,2.25
8025.67,1000000.0,13000000000000.0,16989278.07,15193388.29,16802552.51,21748190.0,539000000.0,625000000.0,2.36
8073.37,1000000.0,13000000000000.0,16991278.54,15194982.46,16808357.24,21783956.0,288000000.0,254000000.0,2.32
8212.7,1000000.0,14000000000000.0,16993503.91,15196994.25,16811538.59,21830657.0,330000000.0,313000000.0,2.49
8497.63,1600000.0,14000000000000.0,16995216.84,15199448.82,16820123.79,21874209.0,561000000.0,546000000.0,2.44
8808.16,1400000.0,15000000000000.0,16997204.72,15201018.28,16822370.23,21867929.0,371000000.0,376000000.0,2.21
8901.29,1100000.0,15000000000000.0,16999205.03,15202940.94,16823336.07,21909437.0,257000000.0,270000000.0,1.96
8904.86,1000000.0,15000000000000.0,17001117.89,15204620.49,16826501.31,21952559.0,333000000.0,319000000.0,2.63
9329.4,2000000.0,15000000000000.0,17003106.61,15206405.91,16837424.18,21958496.0,877000000.0,794000000.0,2.94
9203.09,3000000.0,15000000000000.0,17004645.25,15208323.77,16830787.42,21949478.0,419000000.0,536000000.0,2.52
8893.31,1700000.0,15000000000000.0,17006408.41,15210656.51,16837891.13,21963953.0,314000000.0,343000000.0,2.51
9210.36,1300000.0,15000000000000.0,17008184.12,15211673.03,16835747.92,21997722.0,349000000.0,315000000.0,2.46
9257.18,1200000.0,15000000000000.0,17009787.74,15213134.64,16841798.04,22026678.0,565000000.0,598000000.0,2.26
9363.87,1100000.0,15000000000000.0,17011763.56,15215615.8,16844169.85,22063040.0,315000000.0,245000000.0,2.13
9285.02,1000000.0,15000000000000.0,17013701.61,15217098.66,16844466.65,22084625.0,315000000.0,324000000.0,2.5
8990.46,1100000.0,15000000000000.0,17015677.06,15219007.8,16843776.58,22150202.0,257000000.0,288000000.0,2.29
9130.2,96000000.0,15000000000000.0,17017428.23,15219986.59,16847908.59,22116425.0,252000000.0,290000000.0,2.44
9449.15,1500000.0,16000000000000.0,17019316.48,15222864.48,16855227.06,22154358.0,423000000.0,347000000.0,2.64
9660.02,1200000.0,16000000000000.0,17021041.78,15224865.07,16856183.13,22188339.0,422000000.0,366000000.0,2.6
9841.93,1200000.0,16000000000000.0,17023055.36,15225842.62,16859605.2,22190678.0,235000000.0,214000000.0,2.27
9621.58,1100000.0,16000000000000.0,17024769.88,15227228.0,16859535.98,22202202.0,273000000.0,301000000.0,2.0
9337.84,1300000.0,15000000000000.0,17026645.32,15230379.98,16859148.5,22174818.0,389000000.0,358000000.0,2.37
9246.53,1200000.0,15000000000000.0,17028384.0,15231726.38,16859561.42,22183235.0,313000000.0,343000000.0,2.54
9183.78,1100000.0,15000000000000.0,17030384.42,15232476.19,16862389.39,22213842.0,267000000.0,279000000.0,2.37
9242.45,1100000.0,15000000000000.0,17032309.76,15234957.22,16860320.53,22242641.0,351000000.0,397000000.0,2.49
8694.39,2000000.0,14000000000000.0,17033897.62,15237128.97,16854673.96,22198092.0,398000000.0,343000000.0,2.4
